window,stream,dimension,count,mean,p05,p50,p95,min,max
0-5s,raw,base_v,200,0.08988844154862317,-0.03505717517187901,0.06365507241797913,0.3033787799363391,-0.042617128721681385,0.3712070126292343
0-5s,raw,base_w,200,0.17425260186981112,-0.04692344370372876,0.14542509862038255,0.5528386881858525,-0.10402227299682332,0.5944786533629232
0-5s,raw,slide,200,0.0209491534467071,-0.02643163942285896,0.022949288583339254,0.07298727902414395,-0.045715014075571804,0.0893403067720941
0-5s,final_action,base_v,200,0.08988844154862317,-0.03505717517187901,0.06365507241797913,0.3033787799363391,-0.042617128721681385,0.3712070126292343
0-5s,final_action,base_w,200,0.17425260186981112,-0.04692344370372876,0.14542509862038255,0.5528386881858525,-0.10402227299682332,0.5944786533629232
0-5s,final_action,slide,200,0.02106039723768156,-0.02643163942285896,0.022949288583339254,0.07298727902414395,-0.04,0.0893403067720941
0-5s,odom,linear_x,120,-0.027582958556053416,-0.1054368489414193,-0.003582686546298061,0.0008689700095008092,-0.12852728176279327,0.0028822709180270412
0-5s,odom,angular_z,120,0.15739480343718337,-0.046834074084497426,0.14306284254938062,0.394670568742529,-0.08289922272211413,0.49318762873401156
0-5s,slide_state,slide,120,0.026520981162997424,-0.02327822775684575,0.025922127966426893,0.07838642708348859,-0.03203303788056003,0.08743399064136592
5-10s,raw,base_v,200,0.1050873962520708,-0.11309192674610802,0.11014601290725023,0.3277693341714779,-0.1968536250808388,0.4099039728918783
5-10s,raw,base_w,200,0.436755482868695,0.24598668531936363,0.3466864624931836,0.8728156490770937,0.2243310513233191,1.038241977463155
5-10s,raw,slide,200,0.04597283301278934,0.006683190637418206,0.04820757311814168,0.09156513685529831,-0.006137289137212494,0.09836226157914202
5-10s,final_action,base_v,200,0.1050873962520708,-0.11309192674610802,0.11014601290725023,0.3277693341714779,-0.1968536250808388,0.4099039728918783
5-10s,final_action,base_w,200,0.436755482868695,0.24598668531936363,0.3466864624931836,0.8728156490770937,0.2243310513233191,1.038241977463155
5-10s,final_action,slide,200,0.04597283301278934,0.006683190637418206,0.04820757311814168,0.09156513685529831,-0.006137289137212494,0.09836226157914202
5-10s,odom,linear_x,120,-0.08107278155590068,-0.16125133827540972,-0.08709863229525353,0.008077051318188052,-0.19163975822491972,0.1037745039565206
5-10s,odom,angular_z,120,0.4373271155275947,0.2862647636008233,0.3665401548341469,0.7538741620804059,0.2500647778800524,0.9432616801279827
5-10s,slide_state,slide,120,0.050354663848916195,0.014883030908331745,0.04556196723000856,0.08572436975252119,0.009329600631422076,0.09764993071713693
10-15s,raw,base_v,200,0.027970773076130134,-0.06676442556613481,0.0007241895036102508,0.21677953599910196,-0.08613858148363762,0.2870197531940365
10-15s,raw,base_w,200,1.1765139248704535,0.5606529727028245,1.2498724826085104,1.537749963235466,0.4747491303555522,1.5736055203653694
10-15s,raw,slide,200,0.1486856301635422,0.0474258635797374,0.12596505421148874,0.27629792086830063,0.04290009214509135,0.40211115157552474
10-15s,final_action,base_v,200,0.027970773076130134,-0.06676442556613481,0.0007241895036102508,0.21677953599910196,-0.08613858148363762,0.2870197531940365
10-15s,final_action,base_w,200,1.0673379535564953,0.5606529727028245,1.2,1.2,0.4747491303555522,1.2
10-15s,final_action,slide,200,0.1486856301635422,0.0474258635797374,0.12596505421148874,0.27629792086830063,0.04290009214509135,0.40211115157552474
10-15s,odom,linear_x,120,-0.017262117416562518,-0.07346332462924551,-0.013651908251938936,0.015734904306507,-0.10471740079478795,0.025567547558299687
10-15s,odom,angular_z,120,1.047872668605849,0.6674953885830064,1.128900391296488,1.2240466553808824,0.5188441640632212,1.2423005738921946
10-15s,slide_state,slide,120,0.14901429633877888,0.06421442144059053,0.12915677579412715,0.27761287983716815,0.06243043056811019,0.40506297067403807
15-20s,raw,base_v,174,0.058634388363586726,-0.03940783780043926,0.05572567325710159,0.1922777278552153,-0.05347485293159654,0.21669920605487025
15-20s,raw,base_w,174,1.3378310343459328,1.1748242174540948,1.3242245885551691,1.464041838895518,1.0864164521736541,1.4717958218615481
15-20s,raw,slide,174,0.46872742060099326,0.40850178432618456,0.4702129150724292,0.5274521610723965,0.40526329352160684,0.5477843130377352
15-20s,final_action,base_v,174,0.058634388363586726,-0.03940783780043926,0.05572567325710159,0.1922777278552153,-0.05347485293159654,0.21669920605487025
15-20s,final_action,base_w,174,1.1958612529237593,1.1748242174540948,1.2,1.2,1.0864164521736541,1.2
15-20s,final_action,slide,174,0.46872742060099326,0.40850178432618456,0.4702129150724292,0.5274521610723965,0.40526329352160684,0.5477843130377352
15-20s,odom,linear_x,120,0.016189314884035032,-0.037235184383823686,0.01555715967078447,0.0678509951056385,-0.060566123225357996,0.10102304353201759
15-20s,odom,angular_z,120,1.1796368594516182,1.1167661931310497,1.1825694457342812,1.2164044432452947,1.019193050845349,1.2400825285164403
15-20s,slide_state,slide,120,0.46217438259755833,0.4148593614891987,0.4661505640436251,0.5301745792194754,0.41418114792719496,0.5454355845485352
spin_onset_minus2_0,raw,base_v,80,-0.01730754652895221,-0.0732276291277512,-0.007205055999922081,0.04307041756513319,-0.08613858148363762,0.04999149777211648
spin_onset_minus2_0,raw,base_w,80,1.051673599733609,0.4817995272026076,1.1009814517925818,1.4586615350062473,0.4747491303555522,1.4742294527266007
spin_onset_minus2_0,final_action,base_v,80,-0.01730754652895221,-0.0732276291277512,-0.007205055999922081,0.04307041756513319,-0.08613858148363762,0.04999149777211648
spin_onset_minus2_0,final_action,base_w,80,0.9937839722758645,0.4817995272026076,1.1009814517925818,1.2,0.4747491303555522,1.2
spin_onset_minus2_0,odom,linear_x,48,-0.005165385041968907,-0.0288297467805136,-0.002776694348273088,0.021136368483390084,-0.03302100924676802,0.025567547558299687
spin_onset_minus2_0,odom,angular_z,48,0.9786285156497977,0.6426100532873001,1.0455803584204548,1.1530268464358504,0.5842619629929439,1.169385403187493
spin_onset_0_plus2,raw,base_v,80,0.05432976955227563,-0.038853322384376,0.007536216448023603,0.2164390991256544,-0.0589464374011411,0.22255466306990024
spin_onset_0_plus2,raw,base_w,80,1.3606068242793694,1.1569283287995227,1.4003333265223563,1.5511422112193751,1.0617028102754222,1.5736055203653694
spin_onset_0_plus2,final_action,base_v,80,0.05432976955227563,-0.038853322384376,0.007536216448023603,0.2164390991256544,-0.0589464374011411,0.22255466306990024
spin_onset_0_plus2,final_action,base_w,80,1.1913853560966634,1.1569283287995227,1.2,1.2,1.0617028102754222,1.2
spin_onset_0_plus2,odom,linear_x,48,-0.018233261303145423,-0.057172010581889116,-0.016526587322439473,0.01263788114938331,-0.08444795999318228,0.016991521568214228
spin_onset_0_plus2,odom,angular_z,48,1.1714469697357943,1.1019781761632008,1.1705887878322248,1.2272363062665963,0.997328625940147,1.2423005738921946
